{'user': 'user2', 'runtime': 'RuntimeBeta', 'start_time': 1712374216.917546, 'end_time': 1712374216.917546, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374248.252061, 'end_time': 1712374248.252061, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeBeta', 'start_time': 1712374254.1206841, 'end_time': 1712374254.1206841, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374270.94443, 'end_time': 1712374270.94443, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374270.9443939, 'end_time': 1712374270.9443939, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374270.946309, 'end_time': 1712374270.946309, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374271.947482, 'end_time': 1712374271.947482, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374271.9522061, 'end_time': 1712374271.9522061, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374271.954481, 'end_time': 1712374271.9544818, 'duration': 9.5367431640625e-07}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374273.0535522, 'end_time': 1712374273.0535522, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374273.0702982, 'end_time': 1712374273.0702982, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374273.073751, 'end_time': 1712374273.073751, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeBeta', 'start_time': 1712374276.8117912, 'end_time': 1712374276.8117912, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeBeta', 'start_time': 1712374277.803114, 'end_time': 1712374277.803115, 'duration': 9.5367431640625e-07}
{'user': 'admin', 'runtime': 'RuntimeBeta', 'start_time': 1712374278.9180338, 'end_time': 1712374278.9180338, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374299.092771, 'end_time': 1712374299.092771, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374299.09643, 'end_time': 1712374299.09643, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374299.1018612, 'end_time': 1712374299.1018612, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeBeta', 'start_time': 1712374304.959996, 'end_time': 1712374304.959996, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712374802.500322, 'end_time': 1712374802.500323, 'duration': 9.5367431640625e-07}
{'user': 'admin', 'runtime': 'RuntimeBeta', 'start_time': 1712374808.392482, 'end_time': 1712374808.392482, 'duration': 0.0}
{'user': 'user1', 'runtime': 'RuntimeAlpha', 'start_time': 1712375748.972458, 'end_time': 1712375748.972458, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeAlpha', 'start_time': 1712375756.326826, 'end_time': 1712375756.326826, 'duration': 0.0}
{'user': 'admin', 'runtime': 'RuntimeBeta', 'start_time': 1712375758.1696918, 'end_time': 1712375758.1696918, 'duration': 0.0}
{'user': 'user1', 'runtime': 'RuntimeAlpha', 'start_time': 1712378969.4645681, 'end_time': 1712378969.4645681, 'duration': 0.0}
